date,season,competition,home_team,away_team,home_goals,away_goals
2026-06-27,2026,World Cup,Scotland,Brazil,0,3
2026-06-27,2026,World Cup,Morocco,Haiti,4,2
2026-06-27,2026,World Cup,USA,Paraguay,4,1
2026-06-27,2026,World Cup,Australia,Turkey,2,0
2026-06-27,2026,World Cup,USA,Australia,2,0
2026-06-27,2026,World Cup,Turkey,Paraguay,0,1
2026-06-27,2026,World Cup,Turkey,USA,3,2
2026-06-27,2026,World Cup,Paraguay,Australia,0,0
2026-06-27,2026,World Cup,Ivory Coast,Ecuador,1,0
2026-06-27,2026,World Cup,Germany,Ivory Coast,2,1
2026-06-27,2026,World Cup,Ecuador,Germany,2,1
2026-06-27,2026,World Cup,Netherlands,Japan,2,2
2026-06-27,2026,World Cup,Sweden,Tunisia,5,1
2026-06-27,2026,World Cup,Netherlands,Sweden,5,1
2026-06-27,2026,World Cup,Tunisia,Japan,0,4
2026-06-27,2026,World Cup,Japan,Sweden,1,1
2026-06-27,2026,World Cup,Tunisia,Netherlands,1,3
2026-06-27,2026,World Cup,Belgium,Egypt,1,1
2026-06-27,2026,World Cup,Iran,New Zealand,2,2
2026-06-27,2026,World Cup,Belgium,Iran,0,0
2026-06-27,2026,World Cup,New Zealand,Egypt,1,3
2026-06-27,2026,World Cup,Egypt,Iran,1,1
2026-06-27,2026,World Cup,New Zealand,Belgium,1,5
2026-06-27,2026,World Cup,Spain,Cape Verde,0,0
2026-06-27,2026,World Cup,Saudi Arabia,Uruguay,1,1
2026-06-27,2026,World Cup,Spain,Saudi Arabia,4,0
2026-06-27,2026,World Cup,Uruguay,Cape Verde,2,2
2026-06-27,2026,World Cup,Cape Verde,Saudi Arabia,0,0
2026-06-27,2026,World Cup,Uruguay,Spain,0,1
2026-06-27,2026,World Cup,France,Senegal,3,1
2026-06-27,2026,World Cup,Iraq,Norway,1,4
2026-06-27,2026,World Cup,France,Iraq,3,0
2026-06-27,2026,World Cup,Norway,Senegal,3,2
2026-06-27,2026,World Cup,Norway,France,1,4
2026-06-27,2026,World Cup,Senegal,Iraq,5,0
2026-06-27,2026,World Cup,Argentina,Algeria,3,0
2026-06-27,2026,World Cup,Austria,Jordan,3,1
2026-06-27,2026,World Cup,Argentina,Austria,2,0
2026-06-27,2026,World Cup,Jordan,Algeria,1,2
2026-06-27,2026,World Cup,Portugal,DR Congo,1,1
2026-06-27,2026,World Cup,Uzbekistan,Colombia,1,3
2026-06-27,2026,World Cup,Portugal,Uzbekistan,5,0
2026-06-27,2026,World Cup,Colombia,DR Congo,1,0
2026-06-27,2026,World Cup,England,Croatia,4,2
2026-06-27,2026,World Cup,Ghana,Panama,1,0
2026-06-27,2026,World Cup,England,Ghana,0,0
2026-06-27,2026,World Cup,Panama,Croatia,0,1
